pair,theme1_code,theme1_name,theme2_code,theme2_name,total_count,total_pct,lib_count,lib_pct,con_count,con_pct
T6-T7,T6,기억·계승,T7,역사의식,121,35.0,101,36.5,20,29.0
T3-T6,T3,화해·통합,T6,기억·계승,41,11.8,22,7.9,19,27.5
T5-T6,T5,치유·회복,T6,기억·계승,34,9.8,25,9.0,9,13.0
T4-T6,T4,정의·진상규명,T6,기억·계승,26,7.5,24,8.7,2,2.9
T4-T7,T4,정의·진상규명,T7,역사의식,21,6.1,20,7.2,1,1.4
T2-T3,T2,용서,T3,화해·통합,19,5.5,12,4.3,7,10.1
T3-T4,T3,화해·통합,T4,정의·진상규명,13,3.8,11,4.0,2,2.9
T3-T7,T3,화해·통합,T7,역사의식,10,2.9,7,2.5,3,4.3
T3-T5,T3,화해·통합,T5,치유·회복,10,2.9,9,3.2,1,1.4
T4-T5,T4,정의·진상규명,T5,치유·회복,10,2.9,10,3.6,0,0.0
T1-T4,T1,사죄·반성,T4,정의·진상규명,8,2.3,8,2.9,0,0.0
T5-T7,T5,치유·회복,T7,역사의식,7,2.0,5,1.8,2,2.9
T1-T6,T1,사죄·반성,T6,기억·계승,7,2.0,6,2.2,1,1.4
T1-T5,T1,사죄·반성,T5,치유·회복,5,1.4,5,1.8,0,0.0
T1-T2,T1,사죄·반성,T2,용서,4,1.2,4,1.4,0,0.0
T1-T3,T1,사죄·반성,T3,화해·통합,3,0.9,3,1.1,0,0.0
T2-T6,T2,용서,T6,기억·계승,2,0.6,0,0.0,2,2.9
T2-T4,T2,용서,T4,정의·진상규명,2,0.6,2,0.7,0,0.0
T2-T5,T2,용서,T5,치유·회복,2,0.6,2,0.7,0,0.0
T1-T7,T1,사죄·반성,T7,역사의식,1,0.3,1,0.4,0,0.0
