regime,n_theme,theme_code,theme_name,count,pct_within,pct_of_total,ASR
전체,693,T1,사죄·반성,19,2.7,2.7,
전체,693,T2,용서,12,1.7,1.7,
전체,693,T3,화해·통합,90,13.0,13.0,
전체,693,T4,정의·진상규명,83,12.0,12.0,
전체,693,T5,치유·회복,62,8.9,8.9,
전체,693,T6,기억·계승,292,42.1,42.1,
전체,693,T7,역사의식,135,19.5,19.5,
진보,522,T1,사죄·반성,18,3.4,2.6,1.99
진보,522,T2,용서,8,1.5,1.2,-0.7
진보,522,T3,화해·통합,57,10.9,8.2,-2.83
진보,522,T4,정의·진상규명,76,14.6,11.0,3.66
진보,522,T5,치유·회복,36,6.9,5.2,-3.3
진보,522,T6,기억·계승,211,40.4,30.4,-1.6
진보,522,T7,역사의식,116,22.2,16.7,3.18
보수,171,T1,사죄·반성,1,0.6,0.1,-1.99
보수,171,T2,용서,4,2.3,0.6,0.7
보수,171,T3,화해·통합,33,19.3,4.8,2.83
보수,171,T4,정의·진상규명,7,4.1,1.0,-3.66
보수,171,T5,치유·회복,26,15.2,3.8,3.3
보수,171,T6,기억·계승,81,47.4,11.7,1.6
보수,171,T7,역사의식,19,11.1,2.7,-3.18
김영삼(보수),52,T1,사죄·반성,1,1.9,0.1,
김영삼(보수),52,T2,용서,4,7.7,0.6,
김영삼(보수),52,T3,화해·통합,12,23.1,1.7,
김영삼(보수),52,T4,정의·진상규명,6,11.5,0.9,
김영삼(보수),52,T5,치유·회복,11,21.2,1.6,
김영삼(보수),52,T6,기억·계승,11,21.2,1.6,
김영삼(보수),52,T7,역사의식,7,13.5,1.0,
김대중(진보),77,T1,사죄·반성,0,0.0,0.0,
김대중(진보),77,T2,용서,0,0.0,0.0,
김대중(진보),77,T3,화해·통합,10,13.0,1.4,
김대중(진보),77,T4,정의·진상규명,0,0.0,0.0,
김대중(진보),77,T5,치유·회복,5,6.5,0.7,
김대중(진보),77,T6,기억·계승,31,40.3,4.5,
김대중(진보),77,T7,역사의식,31,40.3,4.5,
노무현(진보),111,T1,사죄·반성,2,1.8,0.3,
노무현(진보),111,T2,용서,1,0.9,0.1,
노무현(진보),111,T3,화해·통합,18,16.2,2.6,
노무현(진보),111,T4,정의·진상규명,12,10.8,1.7,
노무현(진보),111,T5,치유·회복,8,7.2,1.2,
노무현(진보),111,T6,기억·계승,43,38.7,6.2,
노무현(진보),111,T7,역사의식,27,24.3,3.9,
이명박(보수),33,T1,사죄·반성,0,0.0,0.0,
이명박(보수),33,T2,용서,0,0.0,0.0,
이명박(보수),33,T3,화해·통합,7,21.2,1.0,
이명박(보수),33,T4,정의·진상규명,0,0.0,0.0,
이명박(보수),33,T5,치유·회복,1,3.0,0.1,
이명박(보수),33,T6,기억·계승,23,69.7,3.3,
이명박(보수),33,T7,역사의식,2,6.1,0.3,
박근혜(보수),22,T1,사죄·반성,0,0.0,0.0,
박근혜(보수),22,T2,용서,0,0.0,0.0,
박근혜(보수),22,T3,화해·통합,4,18.2,0.6,
박근혜(보수),22,T4,정의·진상규명,0,0.0,0.0,
박근혜(보수),22,T5,치유·회복,3,13.6,0.4,
박근혜(보수),22,T6,기억·계승,12,54.5,1.7,
박근혜(보수),22,T7,역사의식,3,13.6,0.4,
문재인(진보),334,T1,사죄·반성,16,4.8,2.3,
문재인(진보),334,T2,용서,7,2.1,1.0,
문재인(진보),334,T3,화해·통합,29,8.7,4.2,
문재인(진보),334,T4,정의·진상규명,64,19.2,9.2,
문재인(진보),334,T5,치유·회복,23,6.9,3.3,
문재인(진보),334,T6,기억·계승,137,41.0,19.8,
문재인(진보),334,T7,역사의식,58,17.4,8.4,
윤석열(보수),64,T1,사죄·반성,0,0.0,0.0,
윤석열(보수),64,T2,용서,0,0.0,0.0,
윤석열(보수),64,T3,화해·통합,10,15.6,1.4,
윤석열(보수),64,T4,정의·진상규명,1,1.6,0.1,
윤석열(보수),64,T5,치유·회복,11,17.2,1.6,
윤석열(보수),64,T6,기억·계승,35,54.7,5.1,
윤석열(보수),64,T7,역사의식,7,10.9,1.0,
