regime,n_total,type,count,pct
전체,1293,THEME,693,53.6
전체,1293,CONTEXT,319,24.7
전체,1293,RITUAL,191,14.8
전체,1293,POLICY,90,7.0
진보,902,THEME,522,57.9
진보,902,CONTEXT,214,23.7
진보,902,RITUAL,128,14.2
진보,902,POLICY,38,4.2
보수,391,THEME,171,43.7
보수,391,CONTEXT,105,26.9
보수,391,RITUAL,63,16.1
보수,391,POLICY,52,13.3
김영삼(보수),86,THEME,52,60.5
김영삼(보수),86,CONTEXT,15,17.4
김영삼(보수),86,RITUAL,15,17.4
김영삼(보수),86,POLICY,4,4.7
김대중(진보),178,THEME,77,43.3
김대중(진보),178,CONTEXT,41,23.0
김대중(진보),178,RITUAL,44,24.7
김대중(진보),178,POLICY,16,9.0
노무현(진보),255,THEME,111,43.5
노무현(진보),255,CONTEXT,96,37.6
노무현(진보),255,RITUAL,27,10.6
노무현(진보),255,POLICY,21,8.2
이명박(보수),128,THEME,33,25.8
이명박(보수),128,CONTEXT,49,38.3
이명박(보수),128,RITUAL,22,17.2
이명박(보수),128,POLICY,24,18.8
박근혜(보수),77,THEME,22,28.6
박근혜(보수),77,CONTEXT,21,27.3
박근혜(보수),77,RITUAL,17,22.1
박근혜(보수),77,POLICY,17,22.1
문재인(진보),469,THEME,334,71.2
문재인(진보),469,CONTEXT,77,16.4
문재인(진보),469,RITUAL,57,12.2
문재인(진보),469,POLICY,1,0.2
윤석열(보수),100,THEME,64,64.0
윤석열(보수),100,CONTEXT,20,20.0
윤석열(보수),100,RITUAL,9,9.0
윤석열(보수),100,POLICY,7,7.0
