year,president,regime,n_theme,T4_count,T4_pct,delta_from_prev,transition_type,is_transition_year
1993,김영삼,보수,38,6,15.8,,,False
2000,김대중,진보,44,0,0.0,-15.8,,False
2003,노무현,진보,11,1,9.1,9.1,,False
2004,노무현,진보,33,3,9.1,0.0,,False
2005,노무현,진보,12,0,0.0,-9.1,,False
2006,노무현,진보,22,0,0.0,0.0,,False
2007,노무현,진보,33,8,24.2,24.2,,False
2008,이명박,보수,9,0,0.0,-24.2,진보→보수,True
2009,총리(한승수),보수,9,0,0.0,0.0,,False
2010,총리(정운찬)_대독,보수,10,0,0.0,0.0,,False
2011,총리(김황식),보수,5,0,0.0,0.0,,False
2013,박근혜,보수,7,0,0.0,0.0,,False
2015,부총리(최경환),보수,5,0,0.0,0.0,,False
2016,총리(황교안),보수,6,0,0.0,0.0,,False
2017,문재인,진보,58,9,15.5,15.5,보수→진보,True
2018,문재인,진보,83,17,20.5,5.0,,False
2019,문재인,진보,63,11,17.5,-3.0,,False
2020,문재인,진보,63,9,14.3,-3.2,,False
2021,문재인,진보,67,18,26.9,12.6,,False
2022,윤석열,보수,22,1,4.5,-22.4,진보→보수,True
2023,윤석열,보수,17,0,0.0,-4.5,,False
2024,윤석열,보수,12,0,0.0,0.0,,False
2025,부총리(이주호),보수,13,0,0.0,0.0,,False
