primary_theme,primary_name,regime,n_primary,rank,adjacent_theme,adjacent_name,count,pct_of_primary,pct_of_total_adj,note
T1,사죄·반성,진보,18,1,T3,화해·통합,6,33.3,0.9,
T1,사죄·반성,진보,18,2,T4,정의·진상규명,5,27.8,0.8,
T1,사죄·반성,진보,18,3,T6,기억·계승,4,22.2,0.6,
T1,사죄·반성,진보,18,4,T2,용서,3,16.7,0.5,
T1,사죄·반성,보수,1,1,T7,역사의식,1,100.0,0.2,표본과소(n<5)
T1,사죄·반성,전체,19,1,T3,화해·통합,6,31.6,0.9,
T1,사죄·반성,전체,19,2,T4,정의·진상규명,5,26.3,0.8,
T1,사죄·반성,전체,19,3,T6,기억·계승,4,21.1,0.6,
T1,사죄·반성,전체,19,4,T2,용서,3,15.8,0.5,
T2,용서,진보,8,1,T5,치유·회복,4,50.0,0.6,
T2,용서,진보,8,2,T4,정의·진상규명,3,37.5,0.5,
T2,용서,진보,8,3,T1,사죄·반성,2,25.0,0.3,
T2,용서,진보,8,4,T3,화해·통합,2,25.0,0.3,
T2,용서,보수,4,1,T3,화해·통합,4,100.0,0.6,표본과소(n<5)
T2,용서,보수,4,2,T7,역사의식,1,25.0,0.2,표본과소(n<5)
T2,용서,전체,12,1,T3,화해·통합,6,50.0,0.9,
T2,용서,전체,12,2,T5,치유·회복,4,33.3,0.6,
T2,용서,전체,12,3,T4,정의·진상규명,3,25.0,0.5,
T2,용서,전체,12,4,T7,역사의식,2,16.7,0.3,
T3,화해·통합,진보,57,1,T6,기억·계승,28,49.1,4.2,
T3,화해·통합,진보,57,2,T7,역사의식,11,19.3,1.7,
T3,화해·통합,진보,57,3,T1,사죄·반성,7,12.3,1.1,
T3,화해·통합,진보,57,4,T4,정의·진상규명,5,8.8,0.8,
T3,화해·통합,보수,33,1,T6,기억·계승,23,69.7,3.5,
T3,화해·통합,보수,33,2,T5,치유·회복,6,18.2,0.9,
T3,화해·통합,보수,33,3,T7,역사의식,5,15.2,0.8,
T3,화해·통합,보수,33,4,T2,용서,5,15.2,0.8,
T3,화해·통합,전체,90,1,T6,기억·계승,51,56.7,7.7,
T3,화해·통합,전체,90,2,T7,역사의식,16,17.8,2.4,
T3,화해·통합,전체,90,3,T5,치유·회복,10,11.1,1.5,
T3,화해·통합,전체,90,4,T4,정의·진상규명,7,7.8,1.1,
T4,정의·진상규명,진보,76,1,T6,기억·계승,21,27.6,3.2,
T4,정의·진상규명,진보,76,2,T7,역사의식,15,19.7,2.3,
T4,정의·진상규명,진보,76,3,T5,치유·회복,11,14.5,1.7,
T4,정의·진상규명,진보,76,4,T1,사죄·반성,7,9.2,1.1,
T4,정의·진상규명,보수,7,1,T5,치유·회복,2,28.6,0.3,
T4,정의·진상규명,보수,7,2,T3,화해·통합,2,28.6,0.3,
T4,정의·진상규명,보수,7,3,T6,기억·계승,1,14.3,0.2,
T4,정의·진상규명,전체,83,1,T6,기억·계승,22,26.5,3.3,
T4,정의·진상규명,전체,83,2,T7,역사의식,15,18.1,2.3,
T4,정의·진상규명,전체,83,3,T5,치유·회복,13,15.7,2.0,
T4,정의·진상규명,전체,83,4,T3,화해·통합,8,9.6,1.2,
T5,치유·회복,진보,36,1,T6,기억·계승,17,47.2,2.6,
T5,치유·회복,진보,36,2,T4,정의·진상규명,10,27.8,1.5,
T5,치유·회복,진보,36,3,T7,역사의식,7,19.4,1.1,
T5,치유·회복,진보,36,4,T2,용서,4,11.1,0.6,
T5,치유·회복,보수,26,1,T6,기억·계승,15,57.7,2.3,
T5,치유·회복,보수,26,2,T3,화해·통합,6,23.1,0.9,
T5,치유·회복,보수,26,3,T7,역사의식,4,15.4,0.6,
T5,치유·회복,보수,26,4,T4,정의·진상규명,2,7.7,0.3,
T5,치유·회복,전체,62,1,T6,기억·계승,32,51.6,4.8,
T5,치유·회복,전체,62,2,T4,정의·진상규명,12,19.4,1.8,
T5,치유·회복,전체,62,3,T7,역사의식,11,17.7,1.7,
T5,치유·회복,전체,62,4,T3,화해·통합,9,14.5,1.4,
T6,기억·계승,진보,211,1,T7,역사의식,47,22.3,7.1,
T6,기억·계승,진보,211,2,T3,화해·통합,28,13.3,4.2,
T6,기억·계승,진보,211,3,T4,정의·진상규명,24,11.4,3.6,
T6,기억·계승,진보,211,4,T5,치유·회복,17,8.1,2.6,
T6,기억·계승,보수,81,1,T3,화해·통합,26,32.1,3.9,
T6,기억·계승,보수,81,2,T5,치유·회복,18,22.2,2.7,
T6,기억·계승,보수,81,3,T7,역사의식,13,16.0,2.0,
T6,기억·계승,보수,81,4,T4,정의·진상규명,2,2.5,0.3,
T6,기억·계승,전체,292,1,T7,역사의식,60,20.5,9.1,
T6,기억·계승,전체,292,2,T3,화해·통합,54,18.5,8.2,
T6,기억·계승,전체,292,3,T5,치유·회복,35,12.0,5.3,
T6,기억·계승,전체,292,4,T4,정의·진상규명,26,8.9,3.9,
