group,n_theme,n_t6,t6_pct_within,n_t7,t7_pct_within,cooc_t6_to_t7,cooc_t7_to_t6,cooc_total,cooc_pct_of_total_inst,adj_pairs,adj_pct_of_total_pairs
전체,693,292,42.1,135,19.5,76,45,121,35.0,67,10.1
진보,522,211,40.4,116,22.2,64,37,101,29.2,54,8.2
보수,171,81,47.4,19,11.1,12,8,20,5.8,13,2.0
김영삼(보수),52,11,21.2,7,13.5,1,1,2,0.6,2,0.3
김대중(진보),77,31,40.3,31,40.3,17,8,25,7.2,11,1.7
노무현(진보),111,43,38.7,27,24.3,11,8,19,5.5,16,2.4
이명박(보수),33,23,69.7,2,6.1,4,0,4,1.2,3,0.5
박근혜(보수),22,12,54.5,3,13.6,1,1,2,0.6,2,0.3
문재인(진보),334,137,41.0,58,17.4,36,21,57,16.5,27,4.1
윤석열(보수),64,35,54.7,7,10.9,6,6,12,3.5,6,0.9
