category,regime,sentence_type,n,tense,count,pct
THEME_전체,전체,THEME,693,과거,211,30.4
THEME_전체,전체,THEME,693,현재,281,40.5
THEME_전체,전체,THEME,693,미래,201,29.0
THEME_진보,진보,THEME,522,과거,184,35.2
THEME_진보,진보,THEME,522,현재,198,37.9
THEME_진보,진보,THEME,522,미래,140,26.8
THEME_보수,보수,THEME,171,과거,27,15.8
THEME_보수,보수,THEME,171,현재,83,48.5
THEME_보수,보수,THEME,171,미래,61,35.7
THEME_POLICY_전체,전체,THEME-POLICY,88,과거,7,8.0
THEME_POLICY_전체,전체,THEME-POLICY,88,현재,24,27.3
THEME_POLICY_전체,전체,THEME-POLICY,88,미래,57,64.8
THEME_POLICY_진보,진보,THEME-POLICY,65,과거,7,10.8
THEME_POLICY_진보,진보,THEME-POLICY,65,현재,22,33.8
THEME_POLICY_진보,진보,THEME-POLICY,65,미래,36,55.4
THEME_POLICY_보수,보수,THEME-POLICY,23,과거,0,0.0
THEME_POLICY_보수,보수,THEME-POLICY,23,현재,2,8.7
THEME_POLICY_보수,보수,THEME-POLICY,23,미래,21,91.3
